8000 2000
4237 7739 68
2837 4035 3
1790 3387 51
2461 2729 27
2484 6905 40
400 2391 84
4614 6459 67
394 409 38
3071 7807 41
0 2965 80
3763 4989 65
138 3805 16
825 1181 74
2769 7891 81
363 4049 67
5206 5890 95
2324 7731 6
3918 4258 67
2712 6819 79
858 5762 66
4484 7688 84
4177 6460 25
1751 7332 74
2024 5189 23
2316 3381 85
1026 2224 4
239 5849 55
3177 7386 69
5673 7042 26
2923 6055 13
4015 6927 5
7131 7214 43
3206 7221 55
1401 6134 21
3001 4249 39
5403 5989 98
1239 5018 59
2010 2468 47
6763 7802 74
3790 7819 55
92 2031 67
3495 5255 76
2049 4892 6
1216 6193 29
1291 4191 56
1636 6250 3
852 6915 1
575 5084 14
2575 4354 68
5067 6571 32
3904 5840 40
2934 5276 68
2216 7944 48
2460 3580 99
1673 7920 68
206 3591 28
2424 6158 1
5138 7853 44
3116 7697 21
5348 5775 43
3771 5544 43
3856 7930 9
117 6831 27
7012 7427 38
94 3356 87
3364 4929 76
346 5892 98
4858 4914 24
575 6820 86
1477 4668 33
422 7260 68
4026 4873 38
177 6067 65
2426 6491 28
4914 7167 15
3316 4433 82
1376 3442 96
1854 2251 70
3907 4083 28
2374 4193 13
4950 5123 15
2004 5069 22
4846 6639 18
290 1555 84
4718 6880 39
1671 7005 16
460 5145 8
168 1205 90
831 6353 56
693 7316 32
2157 7073 98
2038 6554 57
1744 6462 95
4162 6416 76
5261 5292 49
3518 4802 74
1477 3381 48
1553 4577 85
1847 2909 45
1782 6364 11
860 5210 2
52 5828 32
3019 6270 43
779 5731 12
5977 7852 62
5200 6718 55
6597 7772 28
1232 3277 65
5195 6698 62
983 2604 66
2253 2690 21
1439 3229 44
2945 4766 10
3533 5138 51
4101 4369 99
6690 6870 98
1323 1644 33
2626 6818 26
4134 6734 75
1744 1866 33
3472 6896 90
788 4255 10
4833 6240 2
1570 4162 54
2339 3209 100
3801 7634 10
3285 6493 30
3797 6036 100
3109 5520 61
4987 7206 72
510 7902 32
1186 1481 37
3865 7286 51
2701 6402 4
49 3586 98
1400 4732 8
4727 7954 75
1062 7642 32
5130 7830 47
6832 7320 89
2337 5518 86
2077 3895 80
2174 5431 39
3728 5670 2
6637 7109 38
1641 1957 84
933 5917 65
852 1540 95
1070 2829 19
473 1229 12
6190 6818 91
5338 6454 100
6933 7199 17
3690 3758 96
2579 2686 96
2015 2172 98
632 5099 24
7650 7895 48
3393 6811 54
1080 3428 60
3280 7799 54
4856 6367 100
5269 6887 55
2265 4936 68
3194 7564 85
4455 7889 44
7047 7048 94
3980 6999 63
3035 7197 87
460 3165 32
376 6477 26
755 3935 10
6744 7901 32
5305 7845 11
2775 3583 38
4083 5242 40
900 1383 14
1182 5693 46
955 1430 1
1847 7286 89
2255 4655 43
2086 2599 59
3792 4880 67
4390 6571 92
3481 7869 82
2051 7451 47
1856 4323 29
4720 7255 61
276 4408 65
262 1743 74
356 1338 89
4642 6180 45
825 7093 93
4098 6654 99
4539 5400 73
1029 4711 43
1389 5481 8
801 4460 20
5084 7020 78
1374 7018 85
4583 6947 59
2071 7505 80
866 4260 70
2602 7646 40
2709 5601 92
2448 3945 63
5333 7340 11
482 7851 1
111 7534 100
385 4880 47
2138 3371 99
7508 7801 30
357 6472 98
1118 5933 69
5487 6431 16
2536 7684 52
661 4010 19
3970 4229 100
5706 7130 61
1876 3149 19
2189 6582 82
5625 5898 38
1049 4152 56
6990 7730 100
5238 5770 7
2606 6499 48
4790 6094 96
1584 6066 90
716 4958 80
1882 5002 29
3950 4661 26
4184 7738 93
3907 7107 26
3836 7824 58
4553 6863 7
3804 7246 40
3144 5041 78
4123 7121 53
1313 2896 16
76 4230 62
4683 5602 40
1333 6731 20
2678 2854 11
4162 7540 52
2893 3210 8
442 4702 6
1027 2993 64
4654 7909 82
6468 7157 12
1 2909 81
3375 3777 64
4709 5917 45
4161 6709 38
900 5491 91
1992 2297 58
2399 6437 64
2248 5604 34
78 5743 70
4441 7134 70
1291 3015 50
5455 5940 82
1880 4993 22
703 4653 98
4862 6982 28
3781 5633 78
2092 3925 99
868 6837 13
1835 3228 60
6030 7983 42
1556 2564 17
3444 5752 23
2639 4005 27
7368 7397 75
2822 5060 85
2270 4754 56
2860 3012 81
3856 7568 21
601 4083 29
2877 3477 22
3639 5317 43
5149 6452 36
2375 7304 95
2584 4787 22
2221 5700 17
1488 6978 91
4283 4499 82
4753 6698 11
6 7377 14
4269 5050 54
953 3207 34
1286 5353 48
5945 6164 1
70 2660 88
5189 6052 72
4574 7828 51
288 4685 54
4429 7073 35
5927 7960 23
1168 2516 87
1535 2683 70
3475 5239 8
60 2051 25
819 2120 84
3567 4053 20
3517 7580 100
1333 5195 30
393 2552 84
1660 5464 88
937 2583 78
1406 6754 62
2231 5695 98
2189 4671 62
4783 5642 28
1713 3577 98
6057 7476 34
3562 4844 53
973 1050 76
118 5150 85
3380 6767 43
2767 5702 90
2686 5070 46
541 5133 9
4466 5754 1
1514 2925 41
769 1035 39
2081 5021 86
5144 5239 88
3006 4771 6
4240 5082 42
3852 6544 98
4467 5137 2
3469 3876 69
1286 5308 17
1909 3449 52
1292 5543 25
3383 4507 100
1332 5835 20
2358 2806 62
2071 4379 9
618 5678 18
1917 2781 37
5400 7277 45
5113 7931 28
2441 3639 97
3770 5954 71
6418 6604 78
561 815 25
2651 4923 32
2229 3982 48
4853 5570 80
1556 7025 7
7209 7269 67
924 1402 27
576 2554 29
308 7346 7
2676 3817 93
44 3016 40
1770 3826 60
1724 2535 1
1763 3598 97
468 2565 75
3468 4837 100
803 4661 30
1672 4938 57
903 4496 75
1226 6022 91
2678 6972 12
4135 7342 63
585 881 51
3170 5291 35
1516 3526 40
342 4749 49
2819 5609 48
5384 6300 80
5913 7935 93
386 2591 9
2974 7980 6
3181 3801 82
876 3399 27
4468 5715 34
44 5462 85
1 5242 97
3637 5803 34
2091 4070 78
786 4379 76
2351 4480 67
4793 7682 52
303 454 53
2242 3340 89
699 2852 3
789 3698 98
1399 4999 11
999 5211 1
2919 4985 60
5767 7215 71
2214 7183 70
5806 5817 87
758 1587 88
2472 4002 28
928 5727 19
1425 6860 92
6885 7497 32
2041 5110 20
2434 7641 15
4841 6559 57
3938 4212 92
4136 4931 12
5971 7659 17
937 2996 24
406 1660 12
698 1613 84
1284 4346 19
2898 7358 26
3619 5836 50
1388 6125 16
5447 5505 19
4206 4970 74
1074 7611 63
4255 6772 73
765 5739 5
774 3323 100
2343 4501 78
411 773 76
281 5546 59
3674 6243 56
5307 5605 56
1301 2469 61
235 817 76
4034 7073 97
1165 6438 15
48 1453 50
6357 7172 2
3135 7261 16
4097 5097 76
2759 4873 43
6185 6621 98
385 1800 33
1836 7338 3
2966 4609 6
1679 7935 87
4937 6317 66
4864 6962 75
1122 3129 55
3925 4447 11
1134 1441 67
201 5229 59
2038 3022 90
4621 5547 62
6631 7085 41
5355 7106 9
638 3374 54
3170 6953 41
3698 5930 43
545 7272 21
3733 7754 34
1247 7266 74
6322 7408 90
1202 4500 23
6295 6658 59
1971 6050 99
3684 7811 26
897 2435 50
4270 5613 49
3091 6172 5
1540 7360 42
7087 7410 73
615 2558 3
3383 5695 100
5617 7524 9
2840 6169 12
1823 7264 57
4006 5195 4
4588 6449 71
3227 6207 6
3679 5360 89
995 5690 43
4947 5833 64
1637 3843 3
6088 6586 27
984 3783 30
3737 5469 43
5069 6501 97
6711 7103 82
470 795 98
155 5522 83
2013 7363 89
559 6302 32
4445 5002 64
4588 6734 96
2660 5042 72
269 4123 26
3733 6918 92
117 2798 96
1084 5792 36
5494 6869 77
583 5977 15
3670 6187 90
1763 6218 45
939 3443 1
2711 5427 80
6107 7311 87
1386 3713 92
5527 6764 23
1941 2080 95
29 4164 12
3015 5320 71
3572 5305 26
193 4244 94
6061 7175 84
1282 2620 43
1125 5894 95
